date,Aus Tourists
3/1/1999,30.052513
6/1/1999,19.148496
9/1/1999,25.317692
12/1/1999,27.591437
3/1/2000,32.076456
6/1/2000,23.487961
9/1/2000,28.47594
12/1/2000,35.123753
3/1/2001,36.838485
6/1/2001,25.007017
9/1/2001,30.72223
12/1/2001,28.693759
3/1/2002,36.640986
6/1/2002,23.824609
9/1/2002,29.311683
12/1/2002,31.770309
3/1/2003,35.177877
6/1/2003,19.775244
9/1/2003,29.60175
12/1/2003,34.538842
3/1/2004,41.273599
6/1/2004,26.655862
9/1/2004,28.279859
12/1/2004,35.191153
3/1/2005,42.20566386
6/1/2005,24.64917133
9/1/2005,32.66733514
12/1/2005,37.25735401
3/1/2006,45.24246027
6/1/2006,29.35048127
9/1/2006,36.34420728
12/1/2006,41.78208136
3/1/2007,49.27659843
6/1/2007,31.27540139
9/1/2007,37.85062549
12/1/2007,38.83704413
3/1/2008,51.23690034
6/1/2008,31.83855162
9/1/2008,41.32342126
12/1/2008,42.79900337
3/1/2009,55.70835836
6/1/2009,33.40714492
9/1/2009,42.31663797
12/1/2009,45.15712257
3/1/2010,59.57607996
6/1/2010,34.83733016
9/1/2010,44.84168072
12/1/2010,46.9712496
3/1/2011,60.01903094
6/1/2011,38.37117851
9/1/2011,46.97586413
12/1/2011,50.73379646
3/1/2012,61.64687319
6/1/2012,39.29956937
9/1/2012,52.67120908
12/1/2012,54.33231689
3/1/2013,66.83435838
6/1/2013,40.87118847
9/1/2013,51.82853579
12/1/2013,57.49190993
3/1/2014,65.25146985
6/1/2014,43.06120822
9/1/2014,54.76075713
12/1/2014,59.83447494
3/1/2015,73.25702747
6/1/2015,47.69662373
9/1/2015,61.09776802
12/1/2015,66.05576122
